Declaracion,NombreDeclarante,ApellidoPaternoDeclarante,ApellidoMaternoDeclarante,NombreLugar,Anio,EsSuDomicilio,FechaAdquisicion,TipoPropiedad
http://datos.cplt.cl/datos/infoprobidad/declaracion_90dda4bebc7faaccb0a7a02b6db8478c,DANIEL MATIAS,JURICIC,CERDA,Vitacura,2017,0,20/01/2017,COMUNIDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_90dda4bebc7faaccb0a7a02b6db8478c,DANIEL MATIAS,JURICIC,CERDA,Vitacura,2010,1,20/01/2017,COMUNIDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_b62fc92a2561538525c89be63f36bf7b,FABIAN EDUARDO,DUFFAU,GARCIA,Valdivia,2013,1,03/06/2013,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,Temuco,2015,0,05/12/2014,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,Temuco,2015,0,05/12/2014,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,Temuco,2015,0,05/12/2014,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,Temuco,2015,0,05/12/2014,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,Temuco,2015,0,05/12/2014,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_c4ca4238a0b923820dcc509a6f75849b,IGNACIO JOSÉ,SUÁREZ,EYTEL,Providencia,2007,1,15/03/2007,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_663772ea088360f95bac3dc7ffb841be,ALEJANDRO DAVID RICARDO,BLAMEY,ALEGRÍA,Ã‘uÃ±oa,2000,0,11/04/2000,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_663772ea088360f95bac3dc7ffb841be,ALEJANDRO DAVID RICARDO,BLAMEY,ALEGRÍA,Ã‘uÃ±oa,2000,0,11/04/2000,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_663772ea088360f95bac3dc7ffb841be,ALEJANDRO DAVID RICARDO,BLAMEY,ALEGRÍA,EstaciÃ³n Central,1985,0,11/03/1985,COMUNIDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_663772ea088360f95bac3dc7ffb841be,ALEJANDRO DAVID RICARDO,BLAMEY,ALEGRÍA,Ã‘uÃ±oa,1982,0,11/04/1982,COMUNIDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_663772ea088360f95bac3dc7ffb841be,ALEJANDRO DAVID RICARDO,BLAMEY,ALEGRÍA,Algarrobo,2001,0,11/04/2001,COMUNIDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_6915849303a3fe93657587cb9c469f00,HERMAN ANTONIO,OSSES,SOTO,Coquimbo,1996,0,09/09/1996,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_6915849303a3fe93657587cb9c469f00,HERMAN ANTONIO,OSSES,SOTO,Coquimbo,2016,0,09/08/2016,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_6915849303a3fe93657587cb9c469f00,HERMAN ANTONIO,OSSES,SOTO,Coquimbo,2010,0,12/09/2010,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_663772ea088360f95bac3dc7ffb841be,ALEJANDRO DAVID RICARDO,BLAMEY,ALEGRÃ?A,Temuco,2015,1,11/01/2015,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_663772ea088360f95bac3dc7ffb841be,ALEJANDRO DAVID RICARDO,BLAMEY,ALEGRÃ?A,Santiago,1974,0,27/04/1974,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_663772ea088360f95bac3dc7ffb841be,ALEJANDRO DAVID RICARDO,BLAMEY,ALEGRÃ?A,Temuco,2015,1,11/04/2015,PLENA PROPIEDAD
http://datos.cplt.cl/datos/infoprobidad/declaracion_6915849303a3fe93657587cb9c469f00,HERMAN ANTONIO,OSSES,SOTO,Santiago,2006,0,15/05/2006,COPROPIEDAD
