Nr,Name,coutry,Political_group,Party,Institution,mandate,pre_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,Comments,party2,Description,Paid or unpaid (a blank entry means it is not clear),Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents"
23788,Adam BIELAN,Poland,ECR,Law and Justice,European parliament,MEP,MP Polish National parliament (Sejm),Public Sector,Elected office,,3,http://www.europarl.europa.eu/ep-dif/23788_09-01-2013.pdf,,,,,,,Raphael,,,
23788,Adam BIELAN,Poland,ECR,Law and Justice,European parliament,MEP,MEP (2004-2009),Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/23788_09-01-2013.pdf,,,,,,,Raphael,,,
23788,Adam BIELAN,Poland,ECR,Law and Justice,European parliament,MEP,American Legislative Exchange Council (ALEC),Private Sector,Business association,,,http://www.europarl.europa.eu/ep-dif/23788_09-01-2013.pdf,,,,,,,Raphael,,,
33990,Adrian SEVERIN,Romania,S&D,Social Democratic Party,European parliament,MEP,"Professor of international commercial law at the University Tito Maiorescu, , Profesor International law and European construction at the University of Bucharest, Director Coordinator of the Foundation ""Ovidiu Sincai Social Democratic Institute"", Consultant International Fund for Cooperation and Partnership of the Black Sea and Caspian Sea.",Academia,Academic,,5,http://www.europarl.europa.eu/ep-dif/33990_19-06-2013.pdf,,,,,,,Raphael,,,
33990,Adrian SEVERIN,Romania,S&D,Social Democratic Party,European parliament,MEP,Member the Court of International Commercial Arbitration of the International Chamber of Commerce in Paris,Private Sector,Business association,,,http://www.europarl.europa.eu/ep-dif/33990_19-06-2013.pdf,,,,,,,Raphael,,,
33990,Adrian SEVERIN,Romania,S&D,Social Democratic Party,European parliament,MEP,Consultant external civil Society,Private Sector,Consultancy,,,http://www.europarl.europa.eu/ep-dif/33990_19-06-2013.pdf,,,,,,,Raphael,,,
33990,Adrian SEVERIN,Romania,S&D,Social Democratic Party,European parliament,MEP,Professor International law and European construction at the University of Bucharest,Academia,Academic,,,http://www.europarl.europa.eu/ep-dif/33990_19-06-2013.pdf,,,,,,,Raphael,,,
33990,Adrian SEVERIN,Romania,S&D,Social Democratic Party,European parliament,MEP,"Director Coordinator of the Foundation ""Ovidiu Sincai Social Democratic Institute""",Academia,Think tank,,,http://www.europarl.europa.eu/ep-dif/33990_19-06-2013.pdf,,,,,,,Raphael,,,
96707,Ágnes HANKISS,Hungary,EPP,Fidesz–Hungarian Civic Union,European parliament,MEP,Part-time director of the Hamvas Bela Insitute,NGO,NGO,,,http://www.europarl.europa.eu/ep-dif/96707_29-03-2012.PDF,,,,,,,Raphael,,,
96652,Alajos MÉSZÁROS,Slovakia,EPP,Party of the Hungarian Coalition,European parliament,MEP,Professor of the slovakian technical university,Academia,Academic,,,http://www.europarl.europa.eu/ep-dif/96652_29-02-2012.pdf,,,,,,,Raphael,,,
