id,nombreInstitucion,codigoInstitucion,codigoCutComuna,nombreComuna,formaAudiencia,fechainicioAudienca,duracionMinutoAudiencia,codigoAudienciaInstitucion,lugarAudiencia,observacionesMateriaAudiencia,descripcionMateria,codigoActualDatasetRegistroPasivo,codigoPasivoInstitucion,nombrePasivoInstitucion,cargoNombrePasivo,nombrePasivo,apellidosPasivo,codigoNacionalidadIsoPasivo,fechaInicioPasivo,fechaTerminoPasivo,linkAudienciaReunionPasivo,linkViajesPasivo,linkDonativosPasivo,cargoFuncionPasivo,codigoActualDatasetRegistroActivo,codigoActualDatasetRegistroEntidadActivo,nombreActivo,apellidosActivo,documentoPaisActivo,codigoNacionalidadActivo,remuneradoActivo,nombreInstitucionActivo,codigoInstitucionActivo,rutActivo,codigoInternacionalActivo,nombreEntidadActivo,giroActivo,representanteActivo,naturalezaActivo,administradorActivo,tipoEntidadActivo
364,SENADO,nr005,13101,Santiago,Presencial,2014-12-11 00:00:00,60,67,Guardia Vieja 392,Proyecto de Ley sobre Creación de una Intendencia de Supervision y control de la informacion financiera y exigencia de certificacion integral complementaria a la auditoria externa.-,Ninguna de las anteriores.,268135,30,SENADO,Senador,Isabel,Allende Bussi,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
371,SENADO,nr005,13502,Alhué,Presencial,2014-12-15 00:00:00,60,77,Alameda 1370  Oficina 702  Santiago,Reformulación al sistema de salud,Ninguna de las anteriores.,268138,33,SENADO,Senador,Lily,Pérez San Martín,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
378,SENADO,nr005,5101,Valparaíso,Presencial,2014-12-10 00:00:00,45,87,Oficina Senador Bianchi Piso 9,Estas personas individualizadas integran la directiva de Ajuter  quienes haran llegar una propuesta de terapia de rehabilitacion para ludopatas que sirva para complementar proyecto de ley del Senador Bianchi en relación a la ludopatía el que sera presentado dentro de las próximas semanas.,Ninguna de las anteriores.,268108,3,SENADO,Senador,Carlos,Bianchi Chelech,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
379,SENADO,nr005,13502,Alhué,Presencial,2014-12-22 00:00:00,60,89,Oficina Presidencia Senado Santiago Morande 441,Gas - Puerto de Quinteros.,Ninguna de las anteriores.,268135,30,SENADO,Senador,Isabel,Allende Bussi,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
384,SENADO,nr005,14102,Corral,Presencial,2014-12-31 00:00:00,45,95,Independencia N°625  Piso 2,La empresa ha desarrollado un proceso de participación ciudadana anticipada  presentando el proyecto tanto a autoridades regionales como a la comunidad  con el objetivo de que todos los actores involucrados conozcan en detalle el proyecto.,Ninguna de las anteriores.,268120,15,SENADO,Senador,Alfonso,De Urresti Longton,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
390,SENADO,nr005,13101,Santiago,Presencial,2014-12-29 00:00:00,30,118,Morande 441 Oficia Senador Pizarro,Se presentó interés de colegios particulares subvencionados en la materia que les afecta en la Reforma Educacional.,Ninguna de las anteriores.,268107,2,SENADO,Senador,Jorge,Pizarro Soto,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
392,SENADO,nr005,13502,Alhué,Presencial,2014-12-29 00:00:00,25,120,Morande 441,Entregaron opinión sobre Reforma Educacional,Ninguna de las anteriores.,268129,24,SENADO,Senador,Andrés,Zaldívar Larraín,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
394,SENADO,nr005,13502,Alhué,Presencial,2014-12-29 00:00:00,25,122,Morande 441,Reforma Educacional  tema Selección,Ninguna de las anteriores.,268129,24,SENADO,Senador,Andrés,Zaldívar Larraín,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
396,SENADO,nr005,13502,Alhué,Presencial,2014-12-30 00:00:00,30,124,Morandé 441  Oficina Senador J.Pizarro,Reforma Educación  presentación de Colegios alemanes de Chile. Tema pre selección.,Ninguna de las anteriores.,268107,2,SENADO,Senador,Jorge,Pizarro Soto,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
403,SENADO,nr005,5602,Algarrobo,Presencial,2014-12-10 00:00:00,30,134,Oficina Del Senador En El Congreso Nacional.,Proyecto de Ley Única de Donaciones.,Ninguna de las anteriores.,268120,15,SENADO,Senador,Alfonso,De Urresti Longton,CHL,2014-11-29,,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,http://www.senado.cl/appsenado/index.php?mo=lobby&ac=GetSujetosPasivos,Senador,,,,,,,,,,,,,,,,,
